Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,6.1.63,2063-06-01,2063-01-06
DATE,6/1/2063,2063-06-01,2063-01-06
DATE,7.12.63,2063-07-12,2063-12-07
DATE,today,2063-08-21,2063-12-07
DATE,6.2.63,2063-06-02,2063-02-06
DATE,7.12.63,2063-07-12,2063-12-07
DATE,2.6.63,2063-02-06,2063-06-02
DATE,6/2/2063,2063-06-02,2063-02-06
DATE,7.3.63,2063-07-03,2063-03-07
DATE,4/7/63,2063-04-07,2063-07-04
DATE,5/7/63,2063-05-07,2063-07-05
DATE,7/9/63,2063-07-09,2063-09-07
DATE,now,2065-07-30,2063-07-18
DATE,5/10/1999,1999-05-10,1999-10-05
DATE,7/2/63,2063-07-02,2063-02-07
DATE,9.2.63,2063-09-02,2063-02-09
DATE,10/11/2063,2063-10-11,2063-11-10
DATE,10.11.63,2063-10-11,2063-11-10
DATE,9/3/63,2063-09-03,2063-03-09
DATE,10.11.63,2063-10-11,2063-11-10
DATE,3/10/63,2063-03-10,2063-10-03
DATE,5/10/1997,1997-05-10,1997-10-05
DATE,10.8.63,2063-10-08,2063-08-10
DATE,10.8.63,2063-10-08,2063-08-10
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,12/3/63,2063-12-03,2063-03-12
DATE,12/3/63,2063-12-03,2063-03-12
DATE,07-Aug-13,2063-10-09,2013-08-07
TIME,23-Sep-13 14:00,2013-09-23,2013-09-23T14:00
DATE,Wednesday,2063-11-27,
DATE,1/10/1998,1998-01-10,1998-10-01
DATE,10.11.63,2063-10-11,2063-11-10
DATE,1/9/1994,1994-01-09,1994-09-01
DATE,10/11/63,2063-10-11,2063-11-10
DATE,7/8/2064,2064-07-08,2064-08-07
DATE,7/8/64,2064-07-08,2064-08-07
DATE,7/9/64,2064-07-09,2064-09-07
DATE,6.1.64,2064-06-01,2064-01-06
DATE,7/9/64,2064-07-09,2064-09-07
DATE,7/3/2008,2008-07-03,2008-03-07
DATE,today,2063-08-21,2063-08-06
DATE,7.3.63,2063-07-03,2063-03-07
DATE,6/9/1986,1986-06-09,1986-09-06
DATE,8.7.63,2063-08-07,2063-07-08
DATE,7/6/1986,1986-07-06,1986-06-07
DATE,8/9/63,2063-08-09,2063-09-08
DATE,today,2063-08-21,2063-08-16
DATE,9.11.63,2063-09-11,2063-11-09
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,10.7.63,2063-10-07,2063-07-10
DATE,7/9/2016,2016-07-09,2016-09-07
DATE,today,2063-08-21,2016-09-07
DATE,9.3.63,2063-09-03,2063-03-09
DATE,4/7/63,2063-04-07,2063-07-04
DATE,7/9/63,2063-07-09,2063-09-07
DATE,9/10/2063,2063-09-10,2063-10-09
DATE,9/7/63,2063-09-07,2063-07-09
DATE,9/3/2063,2063-09-03,2063-03-09
DATE,9/4/63,2063-09-04,2063-04-09
DATE,9.1.63,2063-09-01,2063-01-09
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,9/5/63,2063-09-05,2063-05-09
DATE,9/11/2063,2063-09-11,2063-11-09
DATE,9.12.63,2063-09-12,2063-12-09
DATE,10/9/2008,2008-10-09,2008-09-10
DATE,8/9/63,2063-08-09,2063-09-08
DATE,10.11.63,2063-10-11,2063-11-10
DATE,10.11.63,2063-10-11,2063-11-10
DATE,6/12/2064,2064-06-12,2064-12-06
DATE,6/11/64,2064-06-11,2064-11-06
DATE,10/8/1981,1981-10-08,1981-08-10
DATE,7.10.64,2064-07-10,2064-10-07
DATE,3/11/1990,1990-03-11,1990-11-03
DATE,6/10/2013,2013-06-10,2013-10-06
DATE,8/61,2061-08,2061-08-01
DATE,2/11/63,2063-02-11,2063-11-02
DATE,4/5/64,2064-04-05,2064-05-04
TIME,1017Hrs on 16.1.14,2014-01-16T10:17,
DATE,183/4/2064,2064-04-183,
TIME,110Hrs on 27.2.14,2014-02-27T11:00,
TIME,1217Hrson 27.2.14,2014-02-27T12:17,
TIME,1245Hrs on 27.2.14,2014-02-27T12:45,
DATE,5/7/64,2064-05-07,2064-07-05
DATE,7.4.2064,2064-07-04,2064-04-07
TIME,10:10hrs on 20/3/14,2014-03-20T10:10,
TIME,1155Hrs,2014-03-20T11:55,
TIME,1310Hrs,2014-03-20T13:10,
DATE,9/8/2036,2036-09-08,2036-08-09
DATE,5/3/64,2064-05-03,2064-03-05
DATE,6/9/64,2064-06-09,2064-09-06
DATE,6/12/64,2064-06-12,2064-12-06
DATE,6/10/64,2064-06-10,2064-10-06
DATE,6/12/64,2064-06-12,2064-12-06
DATE,6/12/64,2064-06-12,2064-12-06
DATE,6/10/1987,1987-06-10,1987-10-06
DATE,11/7/2063,2063-11-07,2063-07-11
DATE,11 0.63,2063-11,
DATE,4/8/64,2064-04-08,2064-08-04
DATE,4/3/1998,1998-04-03,1998-03-04
TIME,20/05/2014 at 14:19,201405-20T14:19,2014-05-20T14:19
DATE,06-Sep-2012,2062-11-08,2012-09-06
DATE,02-Dec-2011,2061-02-04,2011-12-02
DATE,8/61,2061-08,2061-08-01
DATE,4/8/64,2064-04-08,2064-08-04
DATE,8.5.64,2064-08-05,2064-05-08
DATE,7/1/64,2064-07-01,2064-01-07
DATE,8.5.64,2064-08-05,2064-05-08
DATE,9/2/2009,2009-09-02,2009-02-09
DATE,8/6/2064,2064-08-06,2064-06-08
DATE,8.7.64,2064-08-07,2064-07-08
DATE,4/8/64,2064-04-08,2064-08-04
DATE,2/11/2010,2010-02-11,2010-11-02
DATE,8.12.64,2064-08-12,2064-12-08
DATE,now,2065-07-30,2064-12-08
DATE,8.7.64,2064-08-07,2064-07-08
DATE,9/1/2004,2004-09-01,2004-01-09
DATE,8/4/64,2064-08-04,2064-04-08
DATE,8.6.64,2064-08-06,2064-06-08
DATE,2/8/1982,1982-02-08,1982-08-02
DATE,1/9/63,2063-01-09,2063-09-01
DATE,3/11/2016,2016-03-11,2016-11-03
DATE,3/10/1986,1986-03-10,1986-10-03
DATE,53,53,
DATE,12/11/1979,1979-12-11,1979-11-12
DATE,9.5.64,2064-09-05,2064-05-09
DATE,9/4/64,2064-09-04,2064-04-09
DATE,9/4/2064,2064-09-04,2064-04-09
DATE,2063,2063-14,2063
DATE,9/3/64,2064-09-03,2064-03-09
DATE,9/12/64,2064-09-12,2064-12-09
DATE,2/5/1984,1984-02-05,1984-05-02
DATE,9/10/2064,2064-09-10,2064-10-09
DATE,2063,2063-14,2063
DATE,9/11/64,2064-09-11,2064-11-09
DATE,10/12/2010,2010-10-12,2010-12-10
DATE,9/2/2009,2009-09-02,2009-02-09
DATE,8/6/2064,2064-08-06,2064-06-08
DATE,8.7.64,2064-08-07,2064-07-08
DATE,9/2/1991,1991-09-02,1991-02-09
TIME,10:31am on the 7th of July 2014,2014-07-07T10:31,T10:31
DATE,9.12.64,2064-09-12,2064-12-09
DATE,9.11.64,2064-09-11,2064-11-09
DATE,4/8/64,2064-04-08,2064-08-04
DATE,31-01-14,2064-03-03,2014-01-31
DATE,8/4/64,2064-08-04,2064-04-08
DATE,8/9/64,2064-08-09,2064-09-08
DATE,21-5-14,2064-07-23,2014-05-21
DATE,4/5/2000,2000-04-05,2000-05-04
DATE,5/12/2064,2064-05-12,2064-12-05
DATE,9/1/2064,2064-09-01,2064-01-09
DATE,1/11/1994,1994-01-11,1994-11-01
DATE,11/12/2062,2062-11-12,2062-12-11
DATE,2.5.63,2063-02-05,2063-05-02
DATE,2.5.63,2063-02-05,2063-05-02
DATE,3/11/2064,2064-03-11,2064-11-03
DATE,7/5/2033,2033-07-05,2033-05-07
DATE,9/4/2007,2007-09-04,2007-04-09
DATE,7/3/2003,2003-07-03,2003-03-07
DATE,28-04-14,2064-06-30,2014-04-28
DATE,8/12/64,2064-08-12,2064-12-08
DATE,12/10/2002,2002-12-10,2002-10-12
DATE,9/10/64,2064-09-10,2064-10-09
DATE,5/7/2030,2030-05-07,2030-07-05
TIME,12.12hrs on 24/7/14,2014-07-24T12:12,
DATE,10/3/2064,2064-10-03,2064-03-10
DATE,8/4/64,2064-08-04,2064-04-08
DATE,10/9/2063,2063-10-09,2063-09-10
DATE,7/8/64,2064-07-08,2064-08-07
DATE,1.9.64,2064-01-09,2064-09-01
DATE,7.10.64,2064-07-10,2064-10-07
DATE,6.10.64,2064-06-10,2064-10-06
DATE,7.10.64,2064-07-10,2064-10-07
DATE,2/3/2012,2012-02-03,2012-03-02
DATE,5/2/2039,2039-05-02,2039-02-05
DATE,11/8/2064,2064-11-08,2064-08-11
DATE,11.10.64,2064-11-10,2064-10-11
DATE,1/5/2064,2064-01-05,2064-05-01
DATE,12.1.64,2064-12-01,2064-01-12
DATE,11/9/2002,2002-11-09,2002-09-11
DATE,3/8/2006,2006-03-08,2006-08-03
DATE,11/2/2002,2002-11-02,2002-02-11
TIME,1605hrs on 14.11.14,2014-11-14T16:05,
TIME,4.45 on 23.9.14,2014-09-23T16:45,2014-09-23T04:45
DATE,4/10/2018,2018-04-10,2018-10-04
DATE,11/12/64,2064-11-12,2064-12-11
DATE,10.1.64,2064-10-01,2064-01-10
DATE,5/11/2007,2007-05-11,2007-11-05
DATE,Friday,2064-11-07,
DATE,11.4.64,2064-11-04,2064-04-11
DATE,11/6/64,2064-11-06,2064-06-11
DATE,12/5/2018,2018-12-05,2018-05-12
TIME,14/08/2014 at 18:45,2014-08-14T1*;45,2014-08-14T18:45
DATE,11/10/1995,1995-11-10,1995-10-11
DATE,9/4/1998,1998-09-04,1998-04-09
DATE,12/3/2008,2008-12-03,2008-03-12
DATE,/9/64,2064-09,
DATE,2063,2063-14,2063
DATE,5/1/2001,2001-05-01,2001-01-05
DATE,9/2/2064,2064-09-02,2064-02-09
DATE,3.2.64,2064-03-02,2064-02-03
DATE,4/8/65,2065-04-08,2065-08-04
DATE,7/4/1969,1969-07-04,1969-04-07
DATE,4.8.65,2065-04-08,2065-08-04
TIME,2.15 pm on 9.2.15,2015-02-09T14:15,2015-02-09T14:00
DATE,10/5/2012,2012-10-05,2012-05-10
DATE,6.1.64,2064-06-01,2064-01-06
DATE,10/3/2012,2012-10-03,2012-03-10
DATE,3/5/1995,1995-03-05,1995-05-03
DATE,2.6.64,2064-02-06,2064-06-02
TIME,03/12/2014 at 08:49,2014-12-03T06:49,2014-12-03T08:49
DATE,2.6.64,2064-02-06,2064-06-02
DATE,8/7/1997,1997-08-07,1997-07-08
DATE,11.6.64,2064-11-06,2064-06-11
DATE,1/5/2064,2064-01-05,2064-05-01
DATE,12.2.64,2064-12-02,2064-02-12
DATE,4/10/1997,1997-04-10,1997-10-04
DATE,3.1.64,2064-03-01,2064-01-03
DATE,7/10/2038,2038-07-10,2038-10-07
DATE,7/6/1993,1993-07-06,1993-06-07
DATE,2/4/64,2064-02-04,2064-04-02
DATE,2.5.2064,2064-02-05,2064-05-02
DATE,5/12/2065,2065-05-12,2065-12-05
DATE,9/8/2005,2005-09-08,2005-08-09
TIME,18/03/2015 at 09:32,2015-03-18T09:23-,2015-03-18T09:32
DATE,/5/2065,2065-05,
TIME,18/03/2015 at 09:32,2015-03-18T09:23-,2015-03-18T09:32
DATE,4/5/1989,1989-04-05,1989-05-04
DATE,7.10.64,2064-07-10,2064-10-07
DATE,7/2/63,2063-07-02,2063-02-07
DATE,9/3/2036,2036-09-03,2036-03-09
DATE,2063,2063-14,2063
TIME,10.40am on 23.9.14,2014-09-23,2014-09-23T10:40
DATE,5.2.65,2065-05-02,2065-02-05
DATE,5.3.65,2065-05-03,2065-03-05
DATE,6.9.64,2064-06-09,2064-09-06
DATE,5.2.65,2065-05-02,2065-02-05
DATE,5.3.65,2065-05-03,2065-03-05
DATE,6.9.64,2064-06-09,2064-09-06
DATE,6.1.64,2064-06-01,2064-01-06
