Category,Original Text,Normalized Value,Normalized Value Corrected
DATE,3/8/1997,1997-03-08,1997-08-03
DATE,11.4.63,2063-11-04,2063-04-11
DATE,original,2063-10-30,2063-11-11
DATE,10.9.62,2062-10-09,2062-09-10
DATE,10/1/63,2063-10-01,2063-01-10
DATE,8/10/62,2062-08-10,2062-10-08
DATE,5/7/2017,2017-05-07,2017-07-05
DATE,9/10/1998,1998-09-10,1998-10-09
DATE,133,2133,
DATE,10/2/63,2063-10-02,2063-02-10
DATE,10/7/2063,2063-10-07,2063-07-10
DATE,10/4/63,2063-10-04,2063-04-10
DATE,2/6/62,2062-02-06,2062-06-02
DATE,5/8/63,2063-05-08,2063-08-05
DATE,7/2/2063,2063-07-02,2063-02-07
DATE,7/1/2063,2063-07-01,2063-01-07
DATE,6/9/1997,1997-06-09,1997-09-06
DATE,3.12.64,2064-03-12,2064-12-03
DATE,2/6/2063,2063-02-06,2063-06-02
DATE,1.6.63,2063-01-06,2063-06-01
DATE,2/7/63,2063-02-07,2063-07-02
DATE,2/7/63,2063-02-07,2063-07-02
DATE,7.8.63,2063-07-08,2063-08-07
DATE,7/4/20063,20063-07-04,
DATE,7.3.63,2063-07-03,2063-03-07
DATE,12.3.62,2062-12-03,2062-03-12
DATE,12.3.62,2062-12-03,2062-03-12
DATE,12/2/62,2062-12-02,2062-02-12
DATE,6/5/2063,2063-06-05,2063-05-06
DATE,1.2.62,2062-01-02,2062-02-01
DATE,2.1.62,2062-02-01,2062-01-02
DATE,4/9/63,2063-04-09,2063-09-04
DATE,3/12/2063,2063-03-12,2063-12-03
DATE,3/11/63,2063-03-11,2063-11-03
DATE,6/7/2062,2062-06-07,2062-07-06
DATE,6.12.62,2062-06-12,2062-12-06
DATE,3/11/63,2063-03-11,2063-11-03
DATE,1/10/62,2062-01-10,2062-10-01
DATE,8/9/2020,2020-08-09,2020-09-08
DATE,9/8/1993,1993-09-08,1993-08-09
DATE,"18.12,62",2062-12-18,
DATE,12.6.62,2062-12-06,2062-06-12
DATE,now,2012-09-19,2051
DATE,12.6.62,2062-12-06,2062-06-12
DATE,previous,2012-09-19,2062-06-12
DATE,now,2062-12-06,2062-06-12
DATE,now,2062-01-15,2062-01-16
DATE,4/6/1994,1994-04-06,1994-06-04
DATE,Now,2013-02-06,2063-04-14
DATE,4/8/63,2063-04-08,2063-08-04
DATE,original,2013-02-06,2063-04-14
DATE,4/9/2063,2063-04-09,2063-09-04
DATE,4.3.63,2063-04-03,2063-03-04
DATE,10/6/1987,1987-10-06,1987-06-10
DATE,1.2.62,2062-01-02,2062-02-01
DATE,12/10/2062,2062-12-10,2062-10-12
DATE,12/6/62,2062-12-06,2062-06-12
DATE,12.7.62,2062-12-07,2062-07-12
DATE,12.10.2062,2062-12-10,2062-10-12
DATE,12/6/2062,2062-12-06,2062-06-12
DATE,12/5/62,2062-12-05,2062-05-12
DATE,1.2.62,2062-01-02,2062-02-01
DATE,12/5/1984,1984-12-05,1984-05-12
DATE,2/4/2063,2063-02-04,2063-04-02
DATE,2.5.63,2063-02-05,2063-05-02
DATE,7/5/2002,2002-07-05,2002-05-07
DATE,7.4.62,2062-07-04,2062-04-07
DATE,21 6.62,2062-06-21,
DATE,10/3/2062,2062-10-03,2062-03-10
DATE,10/4/62,2062-10-04,2062-04-10
DATE,1/3/2063,2063-01-03,2063-03-01
DATE,12.3.63,2063-12-03,2063-03-12
DATE,2/12/2063,2063-02-12,2063-12-02
DATE,8/4/2013,2013-08-04,2013-04-08
DATE,24th of December 2063,2063-12-24,
DATE,5/11/1995,1995-05-11,1995-11-05
DATE,5/3/2002,2002-05-03,2002-03-05
DATE,8/5/1998,1998-08-05,1998-05-08
DATE,5/4/1988,1988-05-04,1988-04-05
DATE,7.4.62,2062-07-04,2062-04-07
DATE,12.7.62,2062-12-07,2062-07-12
DATE,6/7/2005,2005-06-07,2005-07-06
DATE,3/12/2063,2063-03-12,2063-12-03
DATE,7/3/62,2062-07-03,2062-03-07
DATE,7/5/62,2062-07-05,2062-05-07
DATE,5/9/1999,1999-05-09,1999-09-05
DATE,3/12/2001,2001-03-12,2001-12-03
DATE,7.6.2062,2062-07-06,2062-06-07
DATE,7/3/2062,2062-07-03,2062-03-07
DATE,12.7.62,2062-12-07,2062-07-12
DATE,12.7.62,2062-12-07,2062-07-12
DATE,7/4/62,2062-07-04,2062-04-07
DATE,9/3/1993,1993-09-03,1993-03-09
DATE,5.11.66,2066-05-11,2066-11-05
DATE,11/3/2012,2012-11-03,2012-03-11
DATE,5.12.66,2066-05-12,2066-12-05
DATE,5.12.66,2066-05-12,2066-12-05
DATE,5.2.66,2066-05-02,2066-02-05
DATE,5.1.66,2066-05-01,2066-01-05
DATE,5.1.66,2066-05-01,2066-01-05
DATE,5.3.66,2066-05-03,2066-03-05
DATE,5.3.66,2066-05-03,2066-03-05
DATE,4.3.66,2066-04-03,2066-03-04
DATE,6.7.66,2066-06-07,2066-07-06
DATE,6.9.66,2066-06-09,2066-09-06
DATE,7/6/66,2066-07-06,2066-06-07
DATE,7.4.66,2066-07-04,2066-04-07
DATE,7.5.66,2066-07-05,2066-05-07
DATE,7.12.66,2066-07-12,2066-12-07
DATE,today,2066-07-12,2066-12-07
DATE,7/3/2071,2071-07-03,2071-03-07
DATE,1/5/2001,2001-01-05,2001-05-01
TIME,30th of the 5th 2016 at 11:15am,2016-05-30T11:15,T11:15
DATE,7.2.66,2066-07-02,2066-02-07
DATE,9/10/66,2066-09-10,2066-10-09
DATE,7.3.66,2066-07-03,2066-03-07
DATE,8.9.2066,2066-08-09,2066-09-08
DATE,8.4.66,2066-08-04,2066-04-08
DATE,8.9.2066,2066-08-09,2066-09-08
TIME,11:48 AM on 08-07-2016,2016-07-08T11:48,T11:48
DATE,8.1.66,2066-08-01,2066-01-08
DATE,57/3/66,2066-03-57,
DATE,8.2.66,2066-08-02,2066-02-08
DATE,today,2066-10-09,2066-08-01
DATE,9/4/2071,2071-09-04,2071-04-09
DATE,8/2/2071,2071-08-02,2071-02-08
DATE,9.7.71,2071-09-07,2071-07-09
DATE,today,2066-09-30,2066-09-29
DATE,10/7/66,2066-10-07,2066-07-10
DATE,10/5/66,2066-10-05,2066-05-10
DATE,9/12/65,2065-09-12,2065-12-09
DATE,2060,2060T,2060
DATE,4.11.65,2065-04-11,2065-11-04
DATE,3.1.65,2065-03-01,2065-01-03
DATE,3.1.65,2065-03-01,2065-01-03
DATE,4.11.65,2065-04-11,2065-11-04
DATE,4.11.65,2065-04-11,2065-11-04
DATE,11.4.66,2066-11-04,2066-04-11
DATE,11/8/66,2066-11-08,2066-08-11
DATE,2.4.71,2071-02-04,2071-04-02
DATE,2/5/71,2071-02-05,2071-05-02
DATE,2.9.71,2071-02-09,2071-09-02
DATE,11/8/66,2066-11-08,2066-08-11
DATE,9/3/2070,2070-09-03,2070-03-09
DATE,9/1/2070,2070-09-01,2070-01-09
DATE,10.6.70,2070-10-06,2070-06-10
TIME,21/09/2016 9:49:00 AM,2016-09-21T09:49:00,T01:00
DATE,9/4/2071,2071-09-04,2071-04-09
DATE,8/2/2071,2071-08-02,2071-02-08
DATE,9.7.71,2071-09-07,2071-07-09
DATE,9/4/2071,2071-09-04,2071-04-09
DATE,8/2/2071,2071-08-02,2071-02-08
DATE,9.7.71,2071-09-07,2071-07-09
DATE,3.1.65,2065-03-01,2065-01-03
TIME,05:30pm am on 21/9/16,2016-09-21T17:30,T17:30
DATE,12.6.2066,2066-12-06,2066-06-12
TIME,26/9/16 at 09:30hrs,2016-09-26T09:30,2016-09-26T21:30
DATE,12.6.2066,2066-12-06,2066-06-12
DATE,11.1.66,2066-11-01,2066-01-11
DATE,12.6.66,2066-12-06,2066-06-12
DATE,5.1.66,2066-05-01,2066-01-05
TIME,16/2/2015 at 1735 hrs,2015-02-16T17:35,
DATE,1.6.66,2066-01-06,2066-06-01
DATE,12.9.66,2066-12-09,2066-09-12
DATE,1.6.66,2066-01-06,2066-06-01
DATE,7/3/2071,2071-07-03,2071-03-07
DATE,8.3.71,2071-08-03,2071-03-08
TIME,09/08/13 6:20 pm,2013-08-09T18:20,T18:20
DATE,9/4/2071,2071-09-04,2071-04-09
DATE,8/2/2071,2071-08-02,2071-02-08
DATE,9.7.71,2071-09-07,2071-07-09
DATE,1.7.66,2066-01-07,2066-07-01
DATE,1.7.66,2066-01-07,2066-07-01
DATE,11.1.66,2066-11-01,2066-01-11
DATE,11.1.66,2066-11-01,2066-01-11
DATE,1.9.66,2066-01-09,2066-09-01
DATE,1.9.66,2066-01-09,2066-09-01
DATE,3/4/1999,1999-03-04,1999-04-03
DATE,1.5.66,2066-01-05,2066-05-01
DATE,1.9.66,2066-01-09,2066-09-01
DATE,2/5/07,22070-02-05,2007-05-02
DATE,6/2002,2002-06,2002-06-01
DATE,5.4.65,2065-05-04,2065-04-05
DATE,2/4/2070,2070-02-04,2070-04-02
DATE,1.2.66,2066-01-02,2066-02-01
TIME,19410303,1941-03-03,1941-03-03T00:00
DATE,9/1/71,2071-09-01,2071-01-09
TIME,14/12/16 at 1845 hrs,2016-12-14T18:45,
DATE,now,2066-02-15,2066-02-14
DATE,2/3/70,2070-02-03,2070-03-02
DATE,5/4/2065,2065-05-04,2065-04-05
DATE,6/11/65,2065-06-11,2065-11-06
DATE,5.12.65,2065-05-12,2065-12-05
DATE,6/11/65,2065-06-11,2065-11-06
DATE,9/10/71,2071-09-10,2071-10-09
DATE,9/10/71,2071-09-10,2071-10-09
DATE,9/10/71,2071-09-10,2071-10-09
DATE,9/10/71,2071-09-10,2071-10-09
DATE,9/10/71,2071-09-10,2071-10-09
DATE,6/12/2067,2067-06-12,2067-12-06
DATE,2/3/70,2070-02-03,2070-03-02
DATE,9/1/71,2071-09-01,2071-01-09
DATE,7/6/2067,2067-07-06,2067-06-07
DATE,7/10/2067,2067-07-10,2067-10-07
DATE,7/10/2067,2067-07-10,2067-10-07
DATE,7/11/2067,2067-07-11,2067-11-07
DATE,11/5/2070,2070-11-05,2070-05-11
DATE,11/10/2070,2070-11-10,2070-10-11
DATE,10/11/2066,2066-10-11,2066-11-10
DATE,7/2/2067,2067-07-02,2067-02-07
DATE,8/3/2067,2067-08-03,2067-03-08
DATE,8/4/2067,2067-08-04,2067-04-08
DATE,8/7/2067,2067-08-07,2067-07-08
DATE,7/4/1999,1999-07-04,1999-04-07
DATE,6/9/65,2065-06-09,2065-09-06
DATE,9/12/2067,2067-09-12,2067-12-09
DATE,10/3/2070,2070-10-03,2070-03-10
DATE,11/4/2070,2070-11-04,2070-04-11
DATE,10/1/2067,2067-10-01,2067-01-10
DATE,11/9/2067,2067-11-09,2067-09-11
DATE,4/3/2064,2064-04-03,2064-03-04
DATE,2/8/2067,2067-02-08,2067-08-02
DATE,2/7/2067,2067-02-07,2067-07-02
DATE,6/12/1982,1982-06-12,1982-12-06
DATE,7.8.2065,2065-07-08,2065-08-07
DATE,6.1.65,2065-06-01,2065-01-06
DATE,2.9.2072,2072-02-09,2072-09-02
DATE,11/9/67,2067-11-09,2067-09-11
DATE,2.9.2072,2072-02-09,2072-09-02
DATE,2.1.67,2067-02-01,2067-01-02
DATE,3/5/2068,2068-03-05,2068-05-03
DATE,3/5/68,2068-03-05,2068-05-03
DATE,2/5/66,2066-02-05,2066-05-02
DATE,3/5/68,2068-03-05,2068-05-03
DATE,3/5/68,2068-03-05,2068-05-03
DATE,3.11.2067,2067-03-11,2067-11-03
DATE,3.12.2067,2067-03-12,2067-12-03
DATE,3/8/67,2067-03-08,2067-08-03
DATE,Dec 2066,2066-12,2066-12-01
DATE,8/3/2067,2067-08-03,2067-03-08
DATE,3/11/67,2067-03-11,2067-11-03
DATE,3/12/2067,2067-03-12,2067-12-03
DATE,9/3/1995,1995-09-03,1995-03-09
DATE,7/6/2065,2065-07-06,2065-06-07
DATE,5.4.2067,2067-05-04,2067-04-05
DATE,5.4.2067,2067-05-04,2067-04-05
DATE,26th of April 2067,2067-04-26,
DATE,5/9/67,2067-05-09,2067-09-05
DATE,5/12/67,2067-05-12,2067-12-05
DATE,3/7/2019,2019-03-07,2019-07-03
DATE,9.3.65,2065-09-03,2065-03-09
DATE,9.3.65,2065-09-03,2065-03-09
DATE,5/11/2065,2065-05-11,2065-11-05
DATE,5/3/71,2071-05-03,2071-03-05
DATE,7/6/2071,2071-07-06,2071-06-07
DATE,9/4/2007,2007-09-04,2007-04-09
DATE,9/4/07,2007-09-04,2007-04-09
DATE,9/3/2070,2070-09-03,2070-03-09
DATE,9/1/2070,2070-09-01,2070-01-09
DATE,10.6.70,2070-10-06,2070-06-10
DATE,1.5.65,2065-01-05,2065-05-01
DATE,7/3/2071,2071-07-03,2071-03-07
DATE,8.3.71,2071-08-03,2071-03-08
DATE,6/8/1988,1988-06-08,1988-08-06
DATE,2/4/65,2065-02-04,2065-04-02
DATE,2/6/65,2065-02-06,2065-06-02
DATE,7/10/67,2067-07-10,2067-10-07
TIME,3.35 pm,15:35,T15:35
TIME,19/02/2016 at 1 17:00,2016-02-19T17:00,
TIME,03/03/2016ltrch at 10:47,2016-03-03T10:47,
DATE,5/9/2002,2002-05-09,2002-09-05
DATE,5/2/2066,2066-05-02,2066-02-05
TIME,29/03/2016fcs1  at 15:45,2016-03-29T15:45,
DATE,6/3/2066,2066-06-03,2066-03-06
DATE,11/7/2066,2066-11-07,2066-07-11
DATE,11/10/1982,1982-11-10,1982-10-11
DATE,2.4.71,2071-02-04,2071-04-02
DATE,2/5/71,2071-02-05,2071-05-02
DATE,2.9.71,2071-02-09,2071-09-02
DATE,7/11/66,2066-07-11,2066-11-07
DATE,8/5/2066,2066-08-05,2066-05-08
DATE,25/82066,2066-08-25,
DATE,8/10/2066,2066-08-10,2066-10-08
DATE,9.3.66,2066-09-03,2066-03-09
DATE,6.11.67,2067-06-11,2067-11-06
DATE,6.7.67,2067-06-07,2067-07-06
DATE,6/5/67,2067-06-05,2067-05-06
DATE,6.7.67,2067-06-07,2067-07-06
DATE,6.11.67,2067-06-11,2067-11-06
DATE,9/4/2066,2066-09-04,2066-04-09
TIME,3.35 pm,15:35,T15:35
DATE,9.1.70,2070-09-01,2070-01-09
DATE,7/3/2071,2071-07-03,2071-03-07
DATE,8.3.71,2071-08-03,2071-03-08
DATE,9/3/71,2071-09-03,2071-03-09
DATE,Previous,2058-03-16,2071-03-09
DATE,Previous,2056-03-16,2071-03-16
DATE,4/6/71,2071-04-06,2071-06-04
DATE,4/7/71,2071-04-07,2071-07-04
DATE,5/4/71,2071-05-04,2071-04-05
DATE,5/3/71,2071-05-03,2071-03-05
DATE,10/5/2066,2066-10-05,2066-05-10
DATE,12/6/2066,2066-12-06,2066-06-12
TIME,23/06/2015insrsid8013677  at 18:30,2015-06-23T18:30,2077-06-03T08:01
DATE,10/9/2065,2065-10-09,2065-09-10
DATE,10/8/65,2065-10-08,2065-08-10
DATE,1/3/2062,2062-01-03,2062-03-01
DATE,1/8/2062,2062-01-08,2062-08-01
DATE,7/2/69,2069-07-02,2069-02-07
DATE,1/10/2066,2066-01-10,2066-10-01
TIME,22/11/2016,2016--11-22,2016-11-22T00:00
DATE,2/8/2066,2066-02-08,2066-08-02
